,Date,Sex,Age
752,2014.0,Female,50.0
753,2015.0,Male,33.0
754,2012.0,Male,51.0
755,2015.0,Male,65.0
756,2014.0,Female,30.0
757,2012.0,Male,57.0
758,2014.0,Male,47.0
759,2012.0,Male,17.0
760,2015.0,Male,25.0
761,2013.0,Male,49.0
762,2014.0,Female,52.0
763,2014.0,Male,50.0
764,2014.0,Male,39.0
765,2012.0,Female,29.0
766,2013.0,Male,46.0
767,2014.0,Male,28.0
768,2014.0,Female,54.0
769,2012.0,Male,44.0
770,2014.0,Male,26.0
771,2012.0,Female,23.0
772,2014.0,Male,38.0
773,2013.0,Male,24.0
774,2013.0,Female,28.0
775,2012.0,Male,38.0
776,2012.0,Female,45.0
777,2013.0,Female,44.0
778,2013.0,Male,24.0
779,2013.0,Male,43.0
780,2015.0,Male,51.0
781,2014.0,Male,58.0
782,2013.0,Male,60.0
783,2015.0,Male,41.0
784,2014.0,Male,66.0
785,2013.0,Male,52.0
786,2015.0,Male,55.0
787,2014.0,Male,27.0
788,2012.0,Male,30.0
789,2014.0,Female,71.0
790,2012.0,Female,31.0
791,2014.0,Male,50.0
792,2015.0,Male,56.0
793,2013.0,Male,35.0
794,2013.0,Male,52.0
795,2015.0,Female,55.0
796,2014.0,Female,27.0
797,2012.0,Male,36.0
798,2012.0,Male,51.0
799,2012.0,Female,37.0
800,2015.0,Male,31.0
801,2015.0,Male,23.0
802,2015.0,Male,50.0
803,2012.0,Male,30.0
804,2014.0,Male,28.0
805,2014.0,Female,54.0
806,2015.0,Male,36.0
807,2013.0,Female,38.0
808,2012.0,Male,45.0
809,2014.0,Male,47.0
810,2015.0,Female,59.0
811,2013.0,Male,48.0
812,2015.0,Male,31.0
813,2015.0,Female,42.0
814,2013.0,Female,56.0
815,2013.0,Male,34.0
816,2014.0,Male,54.0
817,2014.0,Female,34.0
818,2015.0,Male,43.0
819,2014.0,Male,25.0
820,2015.0,Male,62.0
821,2014.0,Male,45.0
822,2012.0,Female,29.0
823,2013.0,Male,54.0
824,2012.0,Female,49.0
825,2014.0,Male,36.0
826,2014.0,Male,52.0
827,2012.0,Female,57.0
828,2013.0,Female,50.0
829,2013.0,Male,47.0
830,2013.0,Male,47.0
831,2013.0,Female,58.0
832,2013.0,Female,31.0
833,2015.0,Male,37.0
834,2012.0,Male,30.0
835,2012.0,Female,34.0
836,2013.0,Male,49.0
837,2015.0,Female,72.0
838,2014.0,Male,39.0
839,2013.0,Male,56.0
840,2013.0,Male,34.0
841,2014.0,Male,27.0
842,2015.0,Female,39.0
843,2015.0,Female,34.0
844,2014.0,Female,66.0
845,2015.0,Male,69.0
846,2014.0,Male,44.0
847,2012.0,Female,24.0
848,2014.0,Male,49.0
849,2012.0,Female,26.0
850,2012.0,Male,27.0
851,2014.0,Male,48.0
852,2015.0,Male,23.0
853,2013.0,Male,32.0
854,2012.0,Female,30.0
855,2014.0,Female,25.0
856,2012.0,Male,20.0
857,2013.0,Male,29.0
858,2015.0,Male,55.0
859,2013.0,Female,47.0
860,2013.0,Female,33.0
861,2013.0,Male,44.0
862,2013.0,Male,36.0
863,2014.0,Female,41.0
864,2014.0,Male,25.0
